datetime,Date,Time,Open,High,low,Close,Volume
2018-09-03,20180903,0,61.819,61.819,61.228,61.464,1082712
2018-09-04,20180904,0,61.346,61.74,60.834,61.74,1182000
2018-09-05,20180905,0,61.306,61.464,59.77,59.927,3534180
2018-09-06,20180906,0,59.849,59.967,59.336,59.691,2914812
2018-09-07,20180907,0,59.573,59.967,58.233,59.927,4266626
2018-09-10,20180910,0,59.494,59.573,58.667,59.218,2442406
2018-09-11,20180911,0,58.982,60.203,58.588,60.124,3185490
2018-09-12,20180912,0,59.533,60.637,59.258,60.597,2967214
2018-09-13,20180913,0,60.912,61.267,60.44,60.794,3376186
2018-09-14,20180914,0,61.031,61.07,60.282,60.518,4399798
2018-09-17,20180917,0,60.124,60.282,59.455,59.652,3585794
2018-09-18,20180918,0,60.321,60.321,59.494,60.164,2481018
2018-09-19,20180919,0,59.888,60.243,59.77,60.046,1880562
2018-09-20,20180920,0,60.243,60.243,59.258,59.77,2902204
2018-09-21,20180921,0,59.494,59.652,58.233,58.47,5889512
2018-09-24,20180924,0,57.957,58.864,57.918,58.194,2175668
2018-09-26,20180926,0,59.258,60.321,58.706,60.282,4463626
2018-09-27,20180927,0,60.361,60.518,59.73,60.361,2167394
2018-09-28,20180928,0,60.597,60.834,60.321,60.558,2493232
2018-10-02,20181002,0,60.715,60.873,58.706,58.706,2745786
2018-10-03,20181003,0,60.243,60.243,58.706,59.021,2257620
2018-10-04,20181004,0,58.509,58.667,57.524,57.603,4371036
2018-10-05,20181005,0,57.288,57.288,55.948,55.948,4733516
2018-10-08,20181008,0,55.909,56.263,54.845,55.002,3590128
2018-10-09,20181009,0,55.16,56.184,55.042,55.436,3644106
2018-10-10,20181010,0,56.815,57.918,56.342,57.288,5135790
2018-10-11,20181011,0,55.79,56.657,55.16,56.381,5714182
2018-10-12,20181012,0,55.83,56.972,55.83,56.815,4635804
2018-10-15,20181015,0,56.539,56.894,56.106,56.775,2453044
2018-10-16,20181016,0,57.012,57.012,56.224,56.5,3089748
2018-10-18,20181018,0,57.13,58.194,56.736,58.154,3085808
2018-10-19,20181019,0,57.406,58.47,57.169,57.682,3015676
2018-10-22,20181022,0,57.721,58.233,57.288,58.115,3196522
2018-10-23,20181023,0,57.997,58.154,56.894,56.972,2905750
2018-10-24,20181024,0,57.13,57.8,56.894,57.524,2284018
2018-10-25,20181025,0,56.736,57.209,56.027,56.933,3343484
2018-10-26,20181026,0,56.775,57.445,56.342,57.445,2066136
2018-10-29,20181029,0,57.524,57.879,56.933,57.721,2636254
2018-10-30,20181030,0,57.603,57.721,56.736,56.894,2823798
2018-10-31,20181031,0,57.366,57.366,54.845,55.081,6131428
2018-11-01,20181101,0,55.357,55.987,55.002,55.751,3440408
2018-11-02,20181102,0,55.909,57.051,55.475,56.972,3231588
2018-11-05,20181105,0,56.342,56.539,55.672,55.948,1914052
2018-11-06,20181106,0,56.263,56.894,55.79,56.657,1253708
2018-11-07,20181107,0,56.697,57.209,56.224,57.169,1959756
2018-11-08,20181108,0,57.603,57.642,56.894,57.091,1323446
2018-11-09,20181109,0,57.13,57.13,56.184,56.578,2359272
