datetime,Date,Time,Open,High,low,Close,Volume
2018-09-03,20180903,0,71.381,71.42,69.634,70.229,4063295
2018-09-04,20180904,0,70.309,72.611,70.031,72.453,7345294
2018-09-05,20180905,0,72.413,72.453,71.46,71.659,7566423
2018-09-06,20180906,0,72.532,72.532,70.666,71.103,4284424
2018-09-07,20180907,0,71.46,71.857,70.745,71.301,4466250
2018-09-10,20180910,0,70.547,71.341,70.071,70.507,4331270
2018-09-11,20180911,0,69.991,70.587,69.554,69.872,2673795
2018-09-12,20180912,0,69.793,71.42,69.356,71.341,4419007
2018-09-13,20180913,0,71.857,72.095,71.142,71.817,2923508
2018-09-14,20180914,0,72.135,72.611,71.778,72.254,4061310
2018-09-17,20180917,0,71.698,72.492,70.984,72.254,1983809
2018-09-18,20180918,0,72.135,72.77,71.579,72.73,3402290
2018-09-19,20180919,0,73.048,73.405,72.492,73.127,3517817
2018-09-20,20180920,0,73.366,73.366,72.73,72.77,1683280
2018-09-21,20180921,0,72.889,73.088,71.897,72.056,3421743
2018-09-24,20180924,0,71.46,72.611,71.261,71.539,1524480
2018-09-26,20180926,0,71.341,72.214,71.023,71.698,6943927
2018-09-27,20180927,0,72.254,72.254,71.222,71.301,2375648
2018-09-28,20180928,0,71.778,71.936,71.222,71.778,2893336
2018-10-02,20181002,0,71.539,71.857,69.078,69.237,3752841
2018-10-03,20181003,0,68.324,69.396,67.966,68.522,2918347
2018-10-04,20181004,0,68.006,68.403,67.49,67.927,3089851
2018-10-05,20181005,0,67.49,67.808,67.014,67.689,1687250
2018-10-08,20181008,0,67.609,68.046,65.783,66.1,5096686
2018-10-09,20181009,0,65.823,66.696,65.823,66.1,2246226
2018-10-10,20181010,0,65.981,66.696,65.981,66.418,1922274
2018-10-11,20181011,0,66.061,66.061,64.711,64.949,5037136
2018-10-12,20181012,0,64.79,64.87,63.957,64.671,6404007
2018-10-15,20181015,0,64.711,65.306,64.314,64.513,4296731
2018-10-16,20181016,0,64.751,65.108,63.56,64.076,3338373
2018-10-18,20181018,0,63.48,64.473,63.48,63.917,4074808
2018-10-19,20181019,0,63.361,63.877,62.726,63.798,5397215
2018-10-22,20181022,0,63.48,64.83,63.163,64.79,3454297
2018-10-23,20181023,0,63.957,64.473,62.964,63.202,3718699
2018-10-24,20181024,0,63.044,64.155,63.004,63.679,3233565
2018-10-25,20181025,0,62.686,63.123,62.091,62.766,4706038
2018-10-26,20181026,0,63.004,63.044,61.773,62.091,3539255
2018-10-29,20181029,0,62.567,62.805,62.091,62.607,3068413
2018-10-30,20181030,0,61.972,62.686,61.932,61.972,2432022
2018-10-31,20181031,0,62.25,62.726,62.091,62.726,2329596
2018-11-01,20181101,0,62.925,63.282,62.726,63.004,3432859
2018-11-02,20181102,0,63.202,65.148,62.885,65.068,13291163
2018-11-05,20181105,0,63.877,64.274,63.401,63.599,4686585
2018-11-06,20181106,0,64.235,64.552,63.56,64.473,3487248
2018-11-07,20181107,0,64.115,65.029,63.639,63.798,2695630
2018-11-08,20181108,0,65.108,65.108,63.798,63.996,3021964
2018-11-09,20181109,0,63.361,63.401,62.369,62.647,7347676
2018-11-12,20181112,0,62.805,64.195,62.726,63.322,2707143
2018-11-13,20181113,0,62.21,63.838,62.011,63.599,2559062
2018-11-14,20181114,0,63.639,63.917,63.202,63.361,2298233
2018-11-15,20181115,0,63.441,64.79,63.242,64.632,4916845
2018-11-16,20181116,0,64.632,64.87,63.679,64.671,2823861
2018-11-19,20181119,0,64.314,65.902,64.155,65.783,4161354
2018-11-20,20181120,0,65.108,65.783,64.79,64.79,2954474
2018-11-21,20181121,0,64.155,64.354,63.679,63.996,2667443
2018-11-22,20181122,0,64.314,64.552,63.798,64.393,1808335
2018-11-23,20181123,0,64.513,64.989,64.314,64.632,1104454
2018-11-26,20181126,0,65.108,66.299,64.393,65.981,3255400
2018-11-27,20181127,0,66.22,66.378,65.505,65.624,2274810
2018-11-28,20181128,0,65.386,66.1,65.346,65.902,2039389
2018-11-29,20181129,0,66.021,66.259,64.354,64.354,4245121
2018-11-30,20181130,0,64.473,64.989,64.155,64.711,2850857
2018-12-03,20181203,0,65.584,65.664,64.91,65.306,3210539
2018-12-04,20181204,0,65.346,65.505,65.068,65.306,2458621
2018-12-05,20181205,0,64.632,64.989,63.996,63.996,3669074
2018-12-06,20181206,0,63.52,63.798,62.488,62.647,4838636
2018-12-07,20181207,0,63.798,63.838,62.289,62.369,2599159
2018-12-10,20181210,0,62.329,62.528,59.868,60.066,8079744
2018-12-11,20181211,0,59.629,61.376,59.629,61.257,4386453
2018-12-12,20181212,0,62.17,62.647,61.972,62.448,4214552
2018-12-13,20181213,0,62.686,63.044,62.448,62.567,3038241
2018-12-14,20181214,0,62.011,62.925,61.972,62.845,2960429
2018-12-17,20181217,0,63.004,63.401,62.567,63.083,1758313
2018-12-18,20181218,0,62.845,63.56,61.972,62.21,2789322
2018-12-19,20181219,0,62.448,62.925,62.329,62.607,2349446
2018-12-20,20181220,0,62.329,62.885,61.138,61.694,2709128
2018-12-21,20181221,0,60.503,60.741,60.066,60.701,7085259
2018-12-24,20181224,0,59.828,60.463,59.709,60.304,1549094
2018-12-27,20181227,0,60.304,60.701,59.709,59.788,2468546
2018-12-28,20181228,0,59.907,59.947,59.272,59.59,2740094
2018-12-31,20181231,0,60.185,60.304,59.669,59.828,1207674
2019-01-02,20190102,0,59.748,59.907,58.835,59.074,3367354
2019-01-03,20190103,0,59.074,59.113,58.081,58.24,4131976
2019-01-04,20190104,0,57.962,59.709,57.962,59.709,3790159
2019-01-07,20190107,0,60.82,61.098,59.868,60.344,2757959
2019-01-08,20190108,0,60.741,61.773,60.304,61.456,4591305
2019-01-09,20190109,0,61.892,61.932,61.337,61.535,4666735
2019-01-10,20190110,0,61.575,61.654,60.582,61.217,2815921
2019-01-11,20190111,0,61.535,61.892,61.337,61.654,2143403
2019-01-14,20190114,0,61.972,62.091,60.344,60.662,2813936
2019-01-15,20190115,0,61.614,62.17,61.337,62.011,3556723
2019-01-16,20190116,0,61.972,63.242,61.734,62.21,3002114
2019-01-17,20190117,0,63.123,63.202,61.972,62.051,1748388
2019-01-18,20190118,0,63.083,63.123,62.448,62.726,2221612
2019-01-21,20190121,0,62.964,63.56,62.686,62.964,1760695
2019-01-22,20190122,0,63.044,63.044,61.773,62.131,1811114
2019-01-23,20190123,0,62.091,63.441,62.051,62.805,2753989
2019-01-24,20190124,0,62.885,63.52,62.766,63.52,2559459
2019-01-25,20190125,0,63.52,64.314,63.52,64.235,2792101
2019-01-28,20190128,0,63.917,63.957,62.885,62.964,3416582
2019-01-29,20190129,0,62.607,63.401,62.369,62.567,3724654
2019-01-30,20190130,0,62.647,63.083,62.25,62.766,3153768
2019-01-31,20190131,0,63.202,63.361,62.408,62.805,4131182
2019-02-01,20190201,0,62.845,63.441,62.607,62.726,3126772
2019-02-04,20190204,0,63.083,63.083,62.17,62.766,1879001
2019-02-08,20190208,0,62.805,63.044,62.289,62.607,2899688
2019-02-11,20190211,0,62.647,64.036,62.21,63.798,3801672
2019-02-12,20190212,0,63.123,63.361,62.567,62.964,4995054
2019-02-13,20190213,0,62.647,63.758,62.329,63.56,4290776
2019-02-14,20190214,0,63.877,64.711,63.798,64.155,3910053
2019-02-15,20190215,0,63.877,63.917,62.885,63.163,3110892
2019-02-18,20190218,0,63.52,64.79,63.441,64.195,4114111
2019-02-19,20190219,0,64.076,65.029,63.758,64.513,2908025
2019-02-20,20190220,0,64.433,65.426,64.433,65.108,5484555
2019-02-21,20190221,0,64.632,65.267,64.314,64.989,3444769
2019-02-22,20190222,0,64.632,65.743,64.036,65.584,4274896
2019-02-25,20190225,0,65.743,66.22,64.87,65.068,4344768
2019-02-26,20190226,0,65.426,66.458,65.227,66.1,4815610
2019-02-27,20190227,0,66.339,67.371,66.14,67.212,5439694
2019-02-28,20190228,0,66.259,66.934,66.061,66.259,3042608
2019-03-01,20190301,0,65.981,66.696,65.981,66.339,2473707
2019-03-04,20190304,0,66.378,67.014,66.1,66.339,3521787
2019-03-05,20190305,0,65.902,66.021,65.187,65.227,3792938
2019-03-06,20190306,0,65.068,65.227,64.79,65.108,2455842
2019-03-07,20190307,0,64.949,65.306,64.473,64.592,3439608
2019-03-08,20190308,0,63.838,63.996,63.361,63.48,4314596
2019-03-11,20190311,0,63.441,63.599,62.726,63.361,4189144
2019-03-12,20190312,0,63.679,64.274,63.52,63.838,3505510
2019-03-13,20190313,0,63.679,63.957,63.202,63.48,3193071
2019-03-14,20190314,0,63.917,64.036,63.361,63.838,2607893
2019-03-15,20190315,0,63.957,64.91,63.56,64.473,3367354
2019-03-18,20190318,0,64.155,64.393,63.599,64.354,5782305
2019-03-19,20190319,0,64.235,64.433,63.679,63.957,4824741
2019-03-20,20190320,0,63.798,66.14,63.758,65.584,8084111
2019-03-21,20190321,0,66.22,66.299,64.87,64.949,7486229
2019-03-22,20190322,0,65.942,67.212,65.783,66.577,9886094
2019-03-25,20190325,0,65.465,66.498,65.426,65.942,5568322
2019-03-26,20190326,0,65.902,66.736,65.267,65.902,3143446
2019-03-27,20190327,0,65.426,65.664,65.148,65.346,5001009
2019-03-28,20190328,0,65.108,65.465,64.632,65.346,4856501
2019-03-29,20190329,0,65.545,66.021,65.227,65.584,3734976
2019-04-01,20190401,0,66.061,66.815,65.584,66.696,4022404
2019-04-02,20190402,0,66.696,67.728,66.339,67.609,4404715
2019-04-03,20190403,0,67.49,68.522,67.371,68.205,5337665
2019-04-04,20190404,0,68.046,68.205,67.53,68.086,3492409
2019-04-08,20190408,0,68.205,68.522,67.966,68.324,4534931
2019-04-09,20190409,0,67.966,68.641,67.887,68.522,3058091
2019-04-10,20190410,0,67.689,68.125,67.093,67.689,3784204
2019-04-11,20190411,0,67.45,67.808,66.378,66.934,4042254
2019-04-12,20190412,0,67.291,67.291,66.378,66.974,2403835
2019-04-15,20190415,0,67.649,67.808,66.458,66.577,3751253
2019-04-16,20190416,0,66.458,66.656,66.021,66.458,3839387
2019-04-17,20190417,0,66.498,66.656,65.902,66.021,2762723
2019-04-18,20190418,0,66.061,66.259,65.505,65.505,2311334
2019-04-23,20190423,0,64.949,65.584,64.949,65.346,2415348
